,Review,giai_tri,luu_tru,nha_hang,an_uong,di_chuyen,mua_sam
4,rất khuyên bạn nên ghé thăm quán bar thể thao này,3,0,0,0,0,0
8,bãi đá trứng có những viên đá hình tròn hoặc bầu dục giống trứng khủng long trong thời cổ đại  nơi đây rất phù hợp cho các tín đồ mê  tự sướng  kỷ niệm  bãi đá khá nhỏ  nhưng cũng đáng để bạn trải nghiệm khi đến quy nhơn  lối vào bãi trứng mát mẻ và còn hoang sơ  2 bên đường rợp bóng cây và có các quán cafe để bạn dừng chân nghỉ ngơi thư giãn  tới đây bạn có thể gửi xe và đi bộ tham quan các địa điểm liền kề như hòn chồng  đền thờ hàn mặc tử  bãi hoàng hậu   ,5,0,0,0,0,0
18,hiện  tại đã tu sửa xong  tuy nhiên loại hình nghệ thuật này phổ biến ở vùng nông thôn bình định hơn là thành phố  đáng buồn là người dân thành phố chưa có sự quan tâm đúng mức đến loại hình nghệ thuật đặc sắc này,4,0,0,0,0,0
26,mát mẻ nhìn cũng dc nhưng ko có gì đặc sắc cho lắm tới tham quan chụp vài tấm ảnh rồi ghé quán cafe uống ly nước view biển là xong ,4,0,0,0,0,0
34,đến một vài lần vào buổi tối để chơi bóng bàn với du khách  thật vui ,4,0,0,0,0,0
47,cảnh quang chưa đep  nếu được mở rộng thêm  khắc các câu thơ hoàng mặc tửvà các ban thơ  tạo ra các điểm nhấn sinh động  vệ sinh môi trường quá nhớp,3,0,0,0,0,0
54,nơi phù hợp để trải nghiệm cảm giác bơi lội  lặn ngắm san hô  thưởng thức hải sản  chụp hình và chơi các trò chơi trên nước,4,0,0,0,0,0
64,lên tầng 5 chơi bowling và xem phim tuy nhiên cảm thấy thất vọng  hệ thống điều hòa không hoạt động gây cảm giác ngột ngạt và thiếu không khí,2,0,0,0,0,0
74,một khách sạn hoàn hảo   đánh giá cao ,2,0,0,0,0,0
92,tôi sẽ chụp lại nếu có nhu cầu đi du lịch vũng tàu  tuy nhiên tôi không nghĩ mình sẽ làm như tôi đã thấy nhiều nơi tốt hơn ở việt nam ,3,0,0,0,0,0
103,trên hình google đẹp nhưng đến nơi thì mới thấy thực tế  đi vào giờ chiều nên đông khách du lịch cảnh đẹp nhưng rác rất nhiều  hy vọng ban điều hành khu du lịch trang bị thùng rác đầy đủbãi chỉ có highlight là mấy hòn đá to  dạng như quả trứng bác bảo vệ hơi làu bàu,1,0,0,0,0,0
112,nhiều dịch vụ xung quanh ks như massage  giặt ủi   rất tiện,4,0,0,0,0,0
123,gia đình đi thì đăng kí với sdt này  tham quan vào thứ 4 và chủ nhật giờ hành chính  gọi sdt này để đăng kí trc  bác bảo vệ nói thế ấy,2,0,0,0,0,0
129,đánh giá 1 sao cho rạp chiếu phim starlight  hôm mình đi xem phim tối mồng 6 tết rạp 1  màn hình coi mà nhòe ánh sáng xanh  đã reset màn hình lại trong lúc đang xem nhưng vẫn k hết  lần đầu xem cũng như lần cuối  ,1,0,0,0,0,0
134,bãi biển cho du khách tắm  ở đây toàn những nhà hàng hải sản  chưa tới nơi đã có người giới thiệu dẫn đi tour ra đảo,3,0,0,0,0,0
136,có nhiều cho chơi mới mình hay dẫn con mình qua đây chơi,5,0,0,0,0,0
142,họ chỉ đặt menu vào bàn của bạn và bỏ đi  không có lời chào nào cả ,1,0,0,0,0,0
163,lọt top 5 ngọn hải đăng trên 100 tuổi nổi tiếng  hải đăng cù lao xanh sừng sững hiên ngang là biểu tượng đẹp cho tinh thần của người dân nơi đây quanh năm sống chung với sóng gió biển khơi  trải qua bao thăng trầm lịch sử hải đăng vẫn luôn sáng đèn giúp việc định vị của tàu thuyền đánh bắt trên biển bình định và khu vực biển lân cận của nam miền trung  vì vậy  ngọn hải đăng còn được gọi là đôi  mắt thần  của biển ,5,0,0,0,0,0
166,bãi tắm sạch  tuy nhiên các ghềnh đá khá nguy hiểm  mọi người cẩn thận khi đến đây,4,0,0,0,0,0
169,rất đáng tham quan  các mô hình khoa học rất thú vị  trực quan  phù hợp cho cả người lớn và trẻ em  anh chị hướng dẫn nhiệt tình  vui vẻ mọi người gọi điện trước để đặthỏi lịch nhé ,5,0,0,0,0,0
171,bạn toàn làm việc rất có tâm  tour rất ổn  chủ nhà chu đáo  nhiệt tình  hiếu khách  đặc biệt bạn dẫn tour rất dễ thương  nhiệt tình  chi phí quá rẻ so với quy định  với mình  đi là để trải nghiệm cuộc sống  trải nghiệm cảm giác của người dân địa phương  trên đảo thì tất nhiên là cơ sở vật chất không thể so với trên đất liền được  nhưng bù lại  cảm giác an nhiên và hòa mình vào thiên nhiên thì không nơi nào mang lại đựơc trọn vẹn như cù lao xanh  nếu đựơc quay lại  nhất định vẫn tin tưởng và lựa chọn nơi này  điểm 9 cho chất lượng ,4,0,0,0,0,0
173,giá vé xem phim khá rẻ  phòng chiếu rộng rãi  hiện đại  trải nghiệm xem phim không có gì phải chê,5,0,0,0,0,0
177,công viên thoáng mát dọc theo bờ biển  thích hợp cho du khách đi dạo và đưa trẻ đến vào những buổi chiều  vì ngoài không gian đẹp và thơ mộng còn có các trò vui chơi giải trí cho các bé,5,0,0,0,0,0
